Dia;Turno;Temperatura_C;Umidade_RH;Maquina
12;Turno 3;11,7;59;RS1-002
12;Turno 3;11,8;59,5;RS1-002
12;Turno 3;11,9;58,5;RS1-002
12;Turno 3;11,9;58,5;RS1-002
12;Turno 3;11,9;58,5;RS1-002
12;Turno 3;11,8;59,5;RS1-002
12;Turno 3;11,9;58;RS1-002
12;Turno 3;11,9;58;RS1-002
12;Turno 3;11,9;58;RS1-002
12;Turno 3;12;59,5;RS1-002
12;Turno 3;11,5;59,5;RS1-002
12;Turno 3;11,5;59;RS1-002
12;Turno 3;11,7;58,5;RS1-002
12;Turno 3;11,8;59;RS1-002
12;Turno 3;11,9;58;RS1-002
12;Turno 1;11,9;58;RS1-002
12;Turno 1;11,8;58;RS1-002
12;Turno 1;12;59;RS1-002
12;Turno 1;11,7;59;RS1-002
12;Turno 1;11,7;59;RS1-002
12;Turno 1;11,7;59;RS1-002
12;Turno 1;11,9;59,5;RS1-002
12;Turno 1;11,8;59,5;RS1-002
12;Turno 1;11,8;59,5;RS1-002
12;Turno 1;11,7;59,5;RS1-002
12;Turno 1;12;59,5;RS1-002
12;Turno 1;11,7;59,5;RS1-002
12;Turno 1;11,8;59,5;RS1-002
12;Turno 1;11,8;59,5;RS1-002
12;Turno 1;12;59,5;RS1-002
12;Turno 1;12,1;59;RS1-002
12;Turno 1;12,1;59;RS1-002
12;Turno 2;11,9;59;RS1-002
12;Turno 2;12;60;RS1-002
12;Turno 2;12;60,5;RS1-002
12;Turno 2;11,9;60,5;RS1-002
12;Turno 2;11,8;60,5;RS1-002
12;Turno 2;11,8;61;RS1-002
12;Turno 2;11,8;61;RS1-002
12;Turno 2;11,7;61;RS1-002
12;Turno 2;11,8;61;RS1-002
12;Turno 2;11,8;61,5;RS1-002
12;Turno 2;11,7;61,5;RS1-002
12;Turno 2;11,7;61;RS1-002
12;Turno 2;11,6;60;RS1-002
12;Turno 2;12;61;RS1-002
12;Turno 2;11,6;61;RS1-002
12;Turno 2;11,5;60,5;RS1-002
13;Turno 3;11,6;60;RS1-002
13;Turno 3;11,8;60,5;RS1-002
13;Turno 3;11,7;59,5;RS1-002
13;Turno 3;11,8;59,5;RS1-002
13;Turno 3;11,7;59;RS1-002
13;Turno 3;11,8;60,5;RS1-002
13;Turno 3;12;59,5;RS1-002
13;Turno 3;11,4;59,5;RS1-002
13;Turno 3;11,4;59;RS1-002
13;Turno 3;12;60;RS1-002
13;Turno 3;11,4;60;RS1-002
13;Turno 3;11,3;59,5;RS1-002
13;Turno 3;11,5;59;RS1-002
13;Turno 3;11,8;59,5;RS1-002
13;Turno 3;12;58,5;RS1-002
13;Turno 1;11,9;58,5;RS1-002
12;Turno 3;10,5;62,5;RS1-010
12;Turno 3;11,9;64;RS1-010
12;Turno 3;10,8;61;RS1-010
12;Turno 3;10,7;62;RS1-010
12;Turno 3;10,6;62,5;RS1-010
12;Turno 3;11,9;63,5;RS1-010
12;Turno 3;11,2;60,5;RS1-010
12;Turno 3;10,8;62;RS1-010
12;Turno 3;10,8;63;RS1-010
12;Turno 3;12;64;RS1-010
12;Turno 3;10,6;62,5;RS1-010
12;Turno 3;10,6;62,5;RS1-010
12;Turno 3;10,5;62;RS1-010
12;Turno 3;11,9;63;RS1-010
12;Turno 3;11;60,5;RS1-010
12;Turno 1;10,6;62;RS1-010
12;Turno 1;10,6;62;RS1-010
12;Turno 1;12,1;63,5;RS1-010
12;Turno 1;10,7;62;RS1-010
12;Turno 1;10,7;62,5;RS1-010
12;Turno 1;10,5;62,5;RS1-010
12;Turno 1;12,1;64;RS1-010
12;Turno 1;11;63,5;RS1-010
12;Turno 1;10,7;63;RS1-010
12;Turno 1;10,5;63;RS1-010
12;Turno 1;12,1;63;RS1-010
12;Turno 1;10,8;62,5;RS1-010
12;Turno 1;11;63;RS1-010
12;Turno 1;10,8;63;RS1-010
12;Turno 1;12,1;63;RS1-010
12;Turno 1;12,1;63;RS1-010
12;Turno 1;11,2;63;RS1-010
12;Turno 2;11;63;RS1-010
12;Turno 2;12,3;64,5;RS1-010
12;Turno 2;11,2;64,5;RS1-010
12;Turno 2;10,9;64;RS1-010
12;Turno 2;10,7;64;RS1-010
12;Turno 2;11,7;65;RS1-010
12;Turno 2;11,2;64,5;RS1-010
12;Turno 2;11,2;64,5;RS1-010
12;Turno 2;11;64,5;RS1-010
12;Turno 2;12,1;65;RS1-010
12;Turno 2;11,2;64,5;RS1-010
12;Turno 2;10,8;64,5;RS1-010
12;Turno 2;10,6;63,5;RS1-010
12;Turno 2;12;65;RS1-010
12;Turno 2;11;64;RS1-010
12;Turno 2;10,6;64;RS1-010
13;Turno 3;10,6;63;RS1-010
13;Turno 3;12;64,5;RS1-010
13;Turno 3;10,7;62,5;RS1-010
13;Turno 3;10,7;63;RS1-010
13;Turno 3;10,6;63;RS1-010
13;Turno 3;11,8;65;RS1-010
13;Turno 3;11,9;62;RS1-010
13;Turno 3;10,6;62;RS1-010
13;Turno 3;10,5;62,5;RS1-010
13;Turno 3;12;64;RS1-010
13;Turno 3;10,6;62,5;RS1-010
13;Turno 3;10,5;63;RS1-010
13;Turno 3;10,4;62,5;RS1-010
13;Turno 3;11,9;63,5;RS1-010
13;Turno 3;11,2;60,5;RS1-010
13;Turno 1;10,8;62,5;RS1-010
12;Turno 3;11,8;58;RS1-020
12;Turno 3;11,9;58;RS1-020
12;Turno 3;12,1;58;RS1-020
12;Turno 3;11,9;58,5;RS1-020
12;Turno 3;11,8;58;RS1-020
12;Turno 3;11,7;58,5;RS1-020
12;Turno 3;12,1;59;RS1-020
12;Turno 3;11,9;58;RS1-020
12;Turno 3;11,7;58;RS1-020
12;Turno 3;11,9;59;RS1-020
12;Turno 3;11,8;59;RS1-020
12;Turno 3;11,7;58;RS1-020
12;Turno 3;11,8;57,5;RS1-020
12;Turno 3;11,9;57,5;RS1-020
12;Turno 3;12,1;57,5;RS1-020
12;Turno 1;12,1;57,5;RS1-020
12;Turno 1;11,9;57,5;RS1-020
12;Turno 1;12,1;57,5;RS1-020
12;Turno 1;12;58;RS1-020
12;Turno 1;12;58;RS1-020
12;Turno 1;12,1;57,5;RS1-020
12;Turno 1;12,1;59;RS1-020
12;Turno 1;12,2;59;RS1-020
12;Turno 1;12;58,5;RS1-020
12;Turno 1;11,9;58,5;RS1-020
12;Turno 1;12,1;58;RS1-020
12;Turno 1;11,9;58;RS1-020
12;Turno 1;12,1;58,5;RS1-020
12;Turno 1;12,2;58,5;RS1-020
12;Turno 1;12,3;58,5;RS1-020
12;Turno 1;12,3;57,5;RS1-020
12;Turno 1;12,3;58;RS1-020
12;Turno 2;12,2;58;RS1-020
12;Turno 2;12,2;59,5;RS1-020
12;Turno 2;12,2;59,5;RS1-020
12;Turno 2;12,2;59,5;RS1-020
12;Turno 2;12,2;59;RS1-020
12;Turno 2;12,2;60,5;RS1-020
12;Turno 2;12,2;60;RS1-020
12;Turno 2;12,2;60;RS1-020
12;Turno 2;12,1;59,5;RS1-020
12;Turno 2;12,2;61;RS1-020
12;Turno 2;12,2;60,5;RS1-020
12;Turno 2;12,1;60;RS1-020
12;Turno 2;12,1;59;RS1-020
12;Turno 2;12,1;60,5;RS1-020
12;Turno 2;11,9;60;RS1-020
12;Turno 2;11,9;59,5;RS1-020
13;Turno 3;11,9;59;RS1-020
13;Turno 3;12;59;RS1-020
13;Turno 3;12;59;RS1-020
13;Turno 3;12;59;RS1-020
13;Turno 3;11,9;58,5;RS1-020
13;Turno 3;11,7;59,5;RS1-020
13;Turno 3;12,1;59,5;RS1-020
13;Turno 3;11,8;58,5;RS1-020
13;Turno 3;11,4;58;RS1-020
13;Turno 3;11,8;59,5;RS1-020
13;Turno 3;11,7;59,5;RS1-020
13;Turno 3;11,7;58,5;RS1-020
