Dia;Temperatura_C;Umidade_RH;Maquina
12;11,7;59,0;RS1-002
12;11,8;59,5;RS1-002
12;11,9;58,5;RS1-002
12;11,9;58,5;RS1-002
12;11,9;58,5;RS1-002
12;11,8;59,5;RS1-002
12;11,9;58,0;RS1-002
12;11,9;58,0;RS1-002
12;11,9;58,0;RS1-002
12;12,0;59,5;RS1-002
12;11,5;59,5;RS1-002
12;11,5;59,0;RS1-002
12;11,7;58,5;RS1-002
12;11,8;59,0;RS1-002
12;11,9;58,0;RS1-002
12;11,9;58,0;RS1-002
12;11,8;58,0;RS1-002
12;12,0;59,0;RS1-002
12;11,7;59,0;RS1-002
12;11,7;59,0;RS1-002
12;11,7;59,0;RS1-002
12;11,9;59,5;RS1-002
12;11,8;59,5;RS1-002
12;11,8;59,5;RS1-002
12;11,7;59,5;RS1-002
12;12,0;59,5;RS1-002
12;11,7;59,5;RS1-002
12;11,8;59,5;RS1-002
12;11,8;59,5;RS1-002
12;12,0;59,5;RS1-002
12;12,1;59,0;RS1-002
12;12,1;59,0;RS1-002
12;11,9;59,0;RS1-002
12;12,0;60,0;RS1-002
12;12,0;60,5;RS1-002
12;11,9;60,5;RS1-002
12;11,8;60,5;RS1-002
12;11,8;61,0;RS1-002
12;11,8;61,0;RS1-002
12;11,7;61,0;RS1-002
12;11,8;61,0;RS1-002
12;11,8;61,5;RS1-002
12;11,7;61,5;RS1-002
12;11,7;61,0;RS1-002
12;11,6;60,0;RS1-002
12;12,0;61,0;RS1-002
12;11,6;61,0;RS1-002
12;11,5;60,5;RS1-002
13;11,6;60,0;RS1-002
13;11,8;60,5;RS1-002
13;11,7;59,5;RS1-002
13;11,8;59,5;RS1-002
13;11,7;59,0;RS1-002
13;11,8;60,5;RS1-002
13;12,0;59,5;RS1-002
13;11,4;59,5;RS1-002
13;11,4;59,0;RS1-002
13;12,0;60,0;RS1-002
13;11,4;60,0;RS1-002
13;11,3;59,5;RS1-002
13;11,5;59,0;RS1-002
13;11,8;59,5;RS1-002
13;12,0;58,5;RS1-002
13;11,9;58,5;RS1-002
12;10,5;62,5;RS1-010
12;11,9;64,0;RS1-010
12;10,8;61,0;RS1-010
12;10,7;62,0;RS1-010
12;10,6;62,5;RS1-010
12;11,9;63,5;RS1-010
12;11,2;60,5;RS1-010
12;10,8;62,0;RS1-010
12;10,8;63,0;RS1-010
12;12,0;64,0;RS1-010
12;10,6;62,5;RS1-010
12;10,6;62,5;RS1-010
12;10,5;62,0;RS1-010
12;11,9;63,0;RS1-010
12;11,0;60,5;RS1-010
12;10,6;62,0;RS1-010
12;10,6;62,0;RS1-010
12;12,1;63,5;RS1-010
12;10,7;62,0;RS1-010
12;10,7;62,5;RS1-010
12;10,5;62,5;RS1-010
12;12,1;64,0;RS1-010
12;11,0;63,5;RS1-010
12;10,7;63,0;RS1-010
12;10,5;63,0;RS1-010
12;12,1;63,0;RS1-010
12;10,8;62,5;RS1-010
12;11,0;63,0;RS1-010
12;10,8;63,0;RS1-010
